address,time
6414336,1497388540.728151271
6418432,1497388540.728185490
6422528,1497388540.728199085
6426624,1497388540.728211516
6430720,1497388540.728223893
6434816,1497388540.728236253
6438912,1497388540.728248642
6443008,1497388540.728260999
6447104,1497388540.728273374
6451200,1497388540.728285766
6455296,1497388540.728298115
6459392,1497388540.728310548
6463488,1497388540.728322958
6467584,1497388540.728335334
6471680,1497388540.728347673
6475776,1497388540.728360071
6479872,1497388540.728372377
6483968,1497388540.728415935
6488064,1497388540.728428410
6492160,1497388540.728440769
6496256,1497388540.728453137
6500352,1497388540.728465626
6504448,1497388540.728478008
6508544,1497388540.728490373
6512640,1497388540.728502725
6516736,1497388540.728515042
6520832,1497388540.728527404
6524928,1497388540.728539746
6529024,1497388540.728552060
6533120,1497388540.728564380
6537216,1497388540.728576688
6541312,1497388540.728589422
6545408,1497388540.728601790
6549504,1497388540.728614115
6553600,1497388540.728626519
6557696,1497388540.728638916
6561792,1497388540.728651321
6569984,1497388540.728708947
6574080,1497388540.728721313
6578176,1497388540.728733663
6582272,1497388540.728746175
6586368,1497388540.728761107
6590464,1497388540.728780324
6594560,1497388540.728798914
6598656,1497388540.728816382
6602752,1497388540.728835191
